"x","y"
162383.568428554,25606.8349053307
154544.856209114,28354.8319051124
146052.235083246,26408.1334215755
140805.036412634,23015.6673189135
138583.847090453,26083.4118738374
138804.764553769,32160.2506638037
145267.055207681,39098.4790330034
161807.090084899,43807.9334260906
176697.374841517,57368.5836399351
184042.955114317,65724.4990311325
187008.942519169,70475.2918469559
190539.583842038,73437.9085177549
195038.984443881,74434.7510738864
197533.320224283,79720.0366723683
217991.698849983,100602.238170062
219781.228459362,105502.402236102
221063.643253868,114333.895989218
222972.60400426,122812.565301558
239051.36842409,127819.306292821
247179.069683682,145531.930696416
249302.12573983,146892.879263884
271464.401369408,149582.134425805
287825.221792515,148937.122528012
304014.731092079,145093.940342974
312347.374371406,144629.767324226
320735.415032537,145704.479055168
327367.065451173,150450.825861781
338799.145953508,167772.824439718
345172.128152991,175390.407213731
352433.480128991,182263.265260216
359219.909617818,190138.519291257
370194.88940495,204757.540820681
362817.759431082,199745.112656511
353875.211256865,191786.657418901
348673.082996324,187177.035779166
332231.733601946,182672.51900312
325097.010975446,177982.414477649
312525.599494262,167358.032760821
310121.889232475,166503.640923866
291444.731639912,169469.491693736
277850.872045643,183811.054071407
269118.002061885,189783.144331153
265472.452707777,190530.821550865
261638.179348149,188922.583356301
253485.770143068,187402.209666714
245228.000313155,187946.801384059
249640.17290644,194297.200631978
255465.208651411,197751.848880262
242738.191444749,200648.795573453
239243.591367477,202731.964669949
235340.09104158,207402.018684099
225342.410063754,208516.492069686
220518.878603683,207528.353087002
212228.798978855,201823.199997487
199211.372224168,195930.217115283
184195.844044302,205414.565634499
181352.276060661,209420.676066413
181755.250456723,216903.63694664
179717.428021764,222932.392274904
175562.52471986,225211.142576847
181333.619605948,232695.750686683
188097.202448668,237554.671945793
202683.8458863,242072.921794896
224874.667957099,253382.264485349
237219.203088895,258131.061366569
248796.95119045,266683.101437617
253621.35870652,271972.730535411
257217.627932171,279307.638530056
260825.332873079,288334.697475873
265797.045016047,295608.929459173
261228.281751133,297502.837607038
259324.087509691,303149.987755284
260042.438438913,308803.563298748
262311.463716609,313771.702620258
260589.227782925,320131.040132284
257403.26978606,326822.240716032
257741.850884724,331948.772615748
258796.306673039,337407.639407212
250202.866394318,337373.338589104
241588.144252899,335930.663771256
